MaoriSpelling,EnglishSpelling,YearLevelFirstEncountered,EnglishDefinition,Category
hamama,to shout,3,To call out loudly.,Actions
haramai (haere mai),come,2,To move towards someone.,Actions
hari,to carry,5,To move an object from one place to another.,Actions
hiki,to raise,8,To lift something up.,Actions
hikoi,to walk,4,To move from one place to another by moving one's feet slowly.,Actions
hoe,to row,3,To move through water in a boat with oars,Actions
hokohoko,to shop,9,To buy things.,Actions
hopu,to catch,9,To take hold of something that is moving.,Actions
horoi,to clean,6,To remove dirt.,Actions
kake,to climb,10,To go move upwards.,Actions
kanikani,dance,3,To move to music.,Actions
kata,to laugh,4,To make sounds expressing amusement / joy.,Actions
kauhoe,to swim,1,To move through water using ones arms and legs.,Actions
kaukau,to bathe,7,To get clean using water.,Actions
kite,to see,7,To take in information using ones eyes.,Actions
korero,to speak,1,To say something,Actions
korerorero,to discuss,9,To take turns talking about a topic.,Actions
kukume,to pull,5,To drag something towards oneself,Actions
makere,to fall,5,To land on the ground after being higher up (often painful).,Actions
mataki ,to watch,3,To observe something.,Actions
mihi,to greet,7,To say hello / good bye.,Actions
moe,to marry,3,To commit to be with someone else with the purpose of starting a family.,Actions
moe ,to sleep,6,To rest (dreaming may be involved),Actions
moemoea ,to dream,3,To see images / experience something that is not really happening (when sleeping).,Actions
noho,to sit,10,Opposite of standing.  Often done on a chair but sometimes done on the floor.,Actions
noho,to live,10,Opposite of being dead.,Actions
noho,to stay,3,To remain in one place.,Actions
nuku,to move,9,To go from one place to another.,Actions
oho,to wake up,4,To stop sleeping.,Actions
panui,to read ,5,To interpret the meaning of written words.,Actions
patu ,to kill,10,To take a life.,Actions
rere,to sail,1,To travel on water (boats are involved).,Actions
rere,to fly,8,To travel through the air (requires wings / aircraft).,Actions
rere,to escape,10,To get away from a person / place.,Actions
rere,to flow,5,To move smoothly (often involves water / liquid).,Actions
ruku,to dive,9,To enter water from a height.,Actions
takaro,to play,6,To be involved in a game.,Actions
tuku,to allow,1,To let something happen.,actions
tuku,to send,4,To make something go somewhere.,actions
waiata,to sing,10,To make musical sounds,actions
heihei,chicken,10,Bird that tastes good when roasted.,Animals
hipi,sheep,2,Animal that provides wool.,Animals
hoiho,horse,4,Animal that can be ridden / raced.,Animals
huruhuru,feather,2,Covering of birds.,Animals
ika,fish,3,"Animal that lives in water, has fins and scales.",Animals
kararehe,animal,8,Living thing that is not a plant.,Animals
kau,cow,3,Animal that gives milk and goes 'moo'.,Animals
kawhe,calf,5,Baby cow.,Animals
kiore,rat,7,Pest that eats just about anything.,Animals
kiwi,kiwi,9,Native bird with long beak (cannot fly).,Animals
kotuku,white heron,1,Native bird with white feathers and long graceful neck (not to be confused with swans).,Animals
kuri,dog,9,Animal which can be trained to 'fetch'.,Animals
manu,bird,9,Animal with feathers and wings (can usually fly).,Animals
mokai,pet,8,Animal which is cared for by humans.,Animals
moko,lizard,2,"Animal with four legs, a long body and very small scales.",Animals
ngarara,reptile,4,"Animals which lay leathery eggs eg: turtles, crocodiles and lizards.",Animals
ngata,snail,1,Slimy garden pest which has a shell.,Animals
ngeru,cat,4,"Furry pet which eats mice, birds and cat food.",Animals
noke,worm,5,Long animal without legs.  Often soft and squishy.,Animals
pea,bear,6,Large animal with claws and teeth.   Not native to New Zealand.,Animals
pi,bee,9,Yellow and black insect which makes honey,Animals
poaka,pig,10,Animal that we use to get bacon / pork.,Animals
poraka,frog,10,"Animal found in rivers streams, can live both in water and on land.",Animals
pungawerewere,spider,5,Animal that makes webs to catch food.,Animals
purerehua,butterfly,1,Animal that has beautiful wings and comes out of a crysalis.,Animals
rango,fly,6,Annoying pest that often feeds on rotten food (and other gross substances).,Animals
